max_strain,LN,EQ_MKZ,EQ_HH,NL_MKZ,NL_HH
0.014217,4.017423785,3.263716205,3.263708056,3.985189094,4.013755937
0.00490134,3.238251839,3.128535241,3.12852757,3.599144205,3.585296958
0.00802834,2.993680896,2.879698067,2.879695536,2.872767814,2.854250612
0.00804262,3.326505171,3.39751733,3.397513124,3.650858207,3.636930632
0.0193601,3.517134872,3.343278855,3.343305293,3.150827114,3.472270162
0.0135551,4.325106994,3.574853529,3.574847093,3.570571311,3.61831433
0.0327318,4.038754485,2.739214743,2.989883343,2.564777823,3.004500244
0.00532109,3.201935004,2.822482218,2.822511695,2.611087083,2.59125876
0.0165362,4.248155102,4.263837037,4.263842883,3.645246294,3.70168344
0.00861714,2.546266316,1.951471989,1.951446468,2.489543986,2.483191314
0.00936767,3.818104647,3.626175856,3.626178873,3.723304986,3.711928848
0.0119041,1.82767273,1.487699204,1.487693906,2.204925376,2.197890116
0.0042286,0.845785384,0.735877331,0.735883577,1.258912695,1.241554911
0.0453784,4.162474211,2.426860864,3.171990005,2.04631757,3.459548565
0.00879577,3.479829765,3.028729395,3.028710032,3.034755079,3.021023924
0.0382522,3.688200648,1.835628298,1.900868056,2.559179485,3.130330886
0.0153947,4.249912538,3.982592418,3.982596456,3.252831344,3.319489673
0.0106303,3.759390038,3.352641635,3.352635761,3.725280195,3.724013821
0.0236693,3.730442599,2.884341367,2.884225164,3.524565837,3.573273722
0.0128928,1.379059328,1.15363117,1.153640101,1.642975448,1.641102921
0.00736471,2.373193895,2.24879454,2.24880846,2.460052865,2.444733
0.0134816,2.052798168,1.977213051,1.977226503,2.46408308,2.461979436
0.00838007,2.418667546,1.966566914,1.966562165,2.52256885,2.509114256
0.0150337,3.800540998,3.164390757,3.164385419,2.950385659,2.992541559
0.0264854,4.152711016,2.818956123,3.04976236,2.659830716,3.330556603
0.013223,0.98476505,1.089108246,1.089114781,1.275862362,1.266519945
0.00658028,0.915729972,0.647444225,0.647442164,0.858957395,0.83709872
0.0148823,2.826215131,2.376747494,2.376741574,2.368951364,2.403511353
0.00717572,2.43605357,2.332625771,2.33262501,2.580440604,2.565429075
0.0135136,3.668332605,3.176340847,3.176342124,3.191067486,3.189853328
0.00892403,2.936040404,2.943210201,2.943202859,2.54250489,2.528012649
0.00712883,3.150070547,3.076700022,3.076701474,3.202968633,3.19400048
0.00530999,0.850769097,0.895707759,0.895687695,1.409300997,1.391280146
0.00522536,2.183140625,1.966004602,1.966014535,2.119137874,2.105648197
0.00697892,2.575293884,2.62343251,2.623397697,3.019283369,2.985123066
0.00910893,2.806938001,2.836194663,2.836198196,3.313589712,3.295256946
0.014049,4.409607317,3.889097959,3.889111719,4.152960479,4.152516356
0.0129997,3.89386601,2.995711815,2.995698658,3.424334696,3.423552916
0.00860742,3.131400834,3.217188637,3.217181692,3.404791903,3.391520435
0.0302528,3.406945585,2.570320834,2.846246569,2.220187402,2.939818976
0.00901844,4.080597525,3.427166565,3.42710358,3.436852506,3.4186708
0.0102014,3.986465459,4.055073503,4.055107825,3.708015884,3.695963799
0.00661657,3.221624815,3.180428358,3.180418588,3.597050644,3.580931945
0.0112228,2.774849352,2.496875794,2.496854128,2.983239801,2.977701841
0.169437,3.606319594,0.636609779,0.504988704,0.578784212,3.043287994
0.0231568,3.148603615,1.837601084,1.910744999,2.200881992,2.560670547
0.0162351,3.776029605,3.026904243,3.026906775,3.08373484,3.187796599
0.00846465,3.171602006,2.667288528,2.667307415,3.061565218,3.045485269
0.0120771,3.573778458,3.160797565,3.160808143,3.349448625,3.345227534
0.0188833,3.419989125,3.222739737,3.222749282,3.437934858,3.56501568
0.00529964,2.597111259,2.625075333,2.62506195,2.925056823,2.907187745
0.00892201,3.584412875,3.324005937,3.324015305,3.726511438,3.71740581
0.0107824,2.353102749,1.986286004,1.986286483,2.311339821,2.300809116
0.00331335,3.238695859,3.297787113,3.297794297,3.365170926,3.353493866
0.0201922,4.080082391,3.190291134,3.190287445,3.082104853,3.291701885
0.00710914,3.697552999,3.730159275,3.730151209,3.925154222,3.911914528
0.00688712,3.487142439,3.209807452,3.209802434,3.306682736,3.297887609
0.00946652,3.565321428,3.29183635,3.291847884,3.60250206,3.595052015
0.0333414,3.923045238,2.288687203,2.467948853,3.392801202,3.677555622
0.0519493,4.487950225,2.781946321,2.796119599,3.930870516,4.665002451
0.0166351,3.635341648,2.561675541,2.561681763,2.428312365,2.496699753
0.0230577,3.991649131,2.794960968,2.794962925,3.746491098,3.917426866
0.0149218,3.956391369,3.398200157,3.398200843,3.746449491,3.797917336
0.0265414,3.834118055,2.454748861,2.541483123,3.213580814,3.62217962
0.0170979,4.057552338,2.719091246,2.719092392,2.835450898,2.914827309
0.00668169,4.037952609,4.11977568,4.119791782,3.94938294,3.936738181
0.00822021,3.744660149,3.430296439,3.430280547,3.241647122,3.22935829
0.0153788,4.024132313,3.574311024,3.574308191,3.372242531,3.451841618
0.0147652,2.430011225,2.263537926,2.26352898,2.117187436,2.178632046
0.00678659,3.996542906,3.636833983,3.636788535,3.189587524,3.177994775
0.0224725,4.268739847,3.019634323,3.053148489,3.848723891,4.091185483
0.00515617,3.37760012,3.422448477,3.422457526,3.130108345,3.112748388
0.0130789,4.003575718,3.608287089,3.608304818,3.25646277,3.288547144
0.0100559,4.055932424,3.701615251,3.701612601,3.840658158,3.834116559
0.00697603,3.46390064,3.383804039,3.383804974,3.559241829,3.546702506
0.0206516,4.217282661,2.96194981,2.971926858,2.961405065,3.094380878
